659	638	733	552	605	148	208	439	188
955	876	739	551	602	472	397	433	188
987	917	723	542	602	519	477	425	193
1046	953	738	538	604	662	605	434	206
993	932	729	542	604	647	647	440	204
995	894	739	554	605	638	545	449	199
909	831	669	542	604	588	567	448	206
785	707	579	526	604	540	542	466	210
306	275	354	526	601	738	639	430	202
285	262	351	529	604	710	614	434	202
284	278	314	523	605	686	589	440	205
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
265	283	337	502	611	697	612	470	215
