564	541	449	434	524	228	286	418	185
591	566	452	431	522	259	316	413	184
624	598	468	428	519	324	382	399	181
653	568	459	422	521	616	544	392	181
626	538	425	412	543	683	616	424	197
597	519	410	400	533	693	615	420	195
611	528	414	399	533	690	612	418	195
636	550	432	408	540	697	617	421	196
643	558	439	412	545	707	626	427	198
658	574	452	417	547	708	626	426	197
647	567	449	413	532	690	607	415	190
685	602	477	428	539	682	603	411	188
605	526	407	391	522	663	589	415	192
584	516	392	386	510	607	553	402	185
549	500	382	385	504	538	526	399	183
546	502	389	401	515	573	528	409	187
537	489	374	405	518	568	527	409	188
524	474	369	402	513	555	514	407	186
522	469	365	403	517	560	515	413	189
516	464	360	404	518	563	518	412	188
